﻿Wskaźnik;Jednostka;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Kościół Greckokatolicki (obrządek bizantyjsko-ukraiński);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;300 000;.;109 860;110 380;.;.;.;.;.
duchowni (księża);osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;70;70;70;72;.;.;.;.;59
obiekty/miejsca sprawowania kultu (kościoły i kaplice własne i wynajęte);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;90;90;105;101;.;.;.;.;86
jednostki kościelne (parafie);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;90;90;63;63;.;.;.;.;88
Kościół Neounicki (obrządek bizantyjsko-słowiański);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;300;.;.;.;.;.;.;.;.
duchowni (księża);osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;.;1;.;.;1;1
obiekty/miejsca sprawowania kultu (kościoły);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;.;1;.;.;1;1
jednostki kościelne (parafie);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;1;.;1;.;.;1;1
Kościół Ormiański (obrządek ormiański);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8000;.;.;.;.;.;.;.;.
duchowni (księża);osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;2;2;.;.;.;.;.;.
obiekty/miejsca sprawowania kultu (kościoły: własne i wynajęte);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;2;2;.;.;.;.;.;.
jednostki kościelne (parafie);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;2;2;.;.;.;.;.;.
Kościół Rzymskokatolicki (obrządek łaciński);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie (ochrzczeni);osoba;.;.;.;.;.;.;30 592 130;30 880 000;.;.;.;32 116 000;.;.;.;33 350 000;.;34 843 700;.;34 810 000;.;.;35 865 550;36 085 000;.;35 894 538;.;34 923 274;34 794 612;35 000 261;34 908 739;35 033 087;34 841 893;34 826 771
duchowni (księża diecezjalni i zakonni);osoba;17 333;17 797;17 986;17 836;18 109;18 151;18 267;18 636;18 881;19 043;19 172;19 456;19 642;19 863;20 302;20 617;20 727;20 947;21 457;21 539;22 040;22 431;22 737;23 379;.;23 578;.;24 444;25 187;26 341;25 732;25 537;26 911;27 235
obiekty/miejsca sprawowania kultu (kościoły i kaplice);szt.;13 263;13 267;13 273;13 276;13 290;13 392;13 518;13 623;13 643;13 708;13 798;14 039;14 162;.;14 506;14 585;14 660;14 498;14 639;14 957;15 114;15 340;15 510;15 731;.;14 335;.;15 081;.;16 032;16 124;17 188;12 848;12 624
jednostki kościelne (parafie);szt.;6327;6330;6334;6346;6361;6376;6437;6470;6538;6589;6646;6716;6790;6881;6931;7089;7299;7496;7768;7944;8101;8201;8459;8487;.;8905;.;9139;9266;9363;9434;9513;9593;9665
