﻿Wskaźnik;Jednostka;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Polski Autokefaliczny Kościół Prawosławny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;330 000;.;.;400 000;.;395 000;.;.;400 000;400 000;413 000;400 000;400 000;413 000;.;427 825;436 710;.;447 230;454 790;460 000;.;457 000;457 400;.;460 000;460 000;460 000;460 000;.;480 000;480 000;480 000;480 000;851 850;852 000;852 000;851 850;850 000;860 000;900 000;870 600;570 600;570 600;570 600;543 200;.;544 460;554 860;554 860;554 860
duchowni (księża diecezjalni i zakonni);osoba;167;.;.;190;.;188;.;.;205;203;209;207;207;.;.;204;212;209;212;215;216;216;195;198;210;209;213;216;216;221;290;292;288;290;290;226;230;234;240;241;240;240;243;259;259;254;.;257;273;289;288
obiekty/miejsca sprawowania kultu (cerkwie i kaplice);szt.;127;.;.;202;.;225;.;.;261;256;269;270;270;.;.;275;281;293;299;300;300;299;300;300;300;301;301;301;301;301;301;295;295;295;301;301;311;313;313;299;299;313;313;410;410;410;.;319;325;325;326
jednostki kościelne (parafie i filie parafialne);szt.;127;.;.;131;.;162;.;.;173;174;198;199;201;194;.;195;201;206;215;216;216;215;215;233;233;215;233;215;233;233;233;231;231;231;223;223;240;242;242;243;251;250;250;250;250;243;.;248;307;297;297
Wschodni Kościół Staroobrzędowców w RP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
członkowie;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2000;.;.;.;.;.;.;.;.;.;.;2530;2615;2620;.;2631;2627;2621;2576;2560;3000;500;739;905;.;.
duchowni;osoba;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;.;.;.;.;.;.;.;.;1;1;3;2;2;2;2;3;3;3;3;3;3;4;3;.;.
obiekty/miejsca sprawowania kultu (molenny);szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5;.;.;.;.;.;.;.;.;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;.;.
jednostki kościelne (gminy);szt.;.;.;.;.;.;.;.;.;.;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;.;.;.;.;.;.;.;.;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;.;.
